,Link,Body,Article
0,www.twitter.com/anyuser/status/1598183664541655043,#Ethiopia Peace Process Undermined as #Eritrea Forces Continue Attacking Civilians - Bloomberg https://t.co/4vIVOxw8Om,https://www.bloomberg.com/news/articles/2022-11-30/ethiopia-peace-process-undermined-as-eritrea-forces-continue-attacking-civilians
1,www.twitter.com/anyuser/status/1598183648968069121,"On the island of Hokkaido, the Kyu-shirataki train station’s last remaining patron—a student—has graduated from high school. https://t.co/D0OEj0TbqK via @citylab",https://www.bloomberg.com/news/articles/2016-03-28/kyu-shirataki-train-station-in-hokkaido-japan-closes-after-student-graduates
2,www.twitter.com/anyuser/status/1598183629867335680,"No. 2 Stanford's bounce back from losing to No. 1 South Carolina continued as the Cardinal won their fourth straight, setting them up for the bigger challenges ahead on their schedule. https://t.co/p2JbvIpGZn",https://trib.al/Y0kM9vZ
3,www.twitter.com/anyuser/status/1598183628772888576,"@cliftonaduncan But you're a ""radical extremist"" if you don't trust the government.....
https://t.co/eMWBfHw2xi

https://t.co/hu7hmrP30F",https://www.theatlantic.com/video/index/590299/atomic-soldiers/
4,www.twitter.com/anyuser/status/1598183625790738432,"#Birdflu #Animals ‘A possible extinction event’: the UK’s worst bird flu outbreak – podcast: The UK is in the middle of its worst outbreak of bird flu. The current strain of H5N1 avian influenza has devastated wild bird populations, killing thousands… https://t.co/Eesf5DJYl2",https://www.theguardian.com/science/audio/2022/dec/01/a-possible-extinction-event-the-uks-worst-bird-flu-outbreak-podcast?utm_source=dlvr.it&utm_medium=twitter
5,www.twitter.com/anyuser/status/1598183621969711105,"New Jefferson County School start times announced, will change next fall https://t.co/G0fUjFBaBr https://t.co/BMYxrQ4Ie6",https://www.cbsnews.com/colorado/news/new-jefferson-county-school-start-times-announced-will-change-next-fall/?utm_source=dlvr.it&utm_medium=twitter
6,www.twitter.com/anyuser/status/1598183612482203649,Covid-19 origins: New studies agree that animals sold at Wuhan market are most likely what started pandemic | CNN https://t.co/qvSqTYhKep,https://www.cnn.com/2022/07/26/health/wuhan-market-covid-19/index.html
7,www.twitter.com/anyuser/status/1598183610917478400,The #Rangers​ beat the Senators on Wednesday night. https://t.co/k1wAqkWp2H,https://cbsn.ws/3AVyxry
8,www.twitter.com/anyuser/status/1598183576633122816,"@CDCDirector You ALL are gross. 

https://t.co/PGZCQpkIuK 

""The terrible and shameful things that happened a long time ago are inexcusable,"" Fauci said Tuesday. ""It would be doubly tragic that the lingering effects of that prevent you from doing something so important.""

Such a sick freak.",https://www.cbsnews.com/news/fauci-black-community-covid-19-vaccine/
9,www.twitter.com/anyuser/status/1598183574100135937,@Mesnia1016 @Acyn Smalley https://t.co/NuuU4A0I3R,https://www.nbc.com/saturday-night-live/video/daily-affirmation/n10295
10,www.twitter.com/anyuser/status/1598183570748866560,@jack_be_lucky @EggsWithRoses @dantypo https://t.co/yVr15JH9XE,https://www.foxnews.com/world/climate-protesters-accused-blood-their-hands-after-2-die-crash-amid-traffic-from-bridge-protest
